gpt2_large_pos_DSS1,gpt2_large_neg_DSS1,gpt2_large_pos_DSS2,gpt2_large_neg_DSS2,gpt2_large_FB_GSS1,gpt2_large_FB_GSS2,gpt2_large_MB_GSS1,gpt2_large_MB_GSS2
m35->logits,m35->logits,m0->m4,m34->m35,m35->logits,m35->logits,m35->logits,m35->logits
m33->m35,m33->m35,m0->m2,m35->logits,a33.h11->logits,a32.h2->logits,a33.h11->logits,a33.h11->logits
m32->logits,m32->logits,m12->m14,m34->logits,m33->logits,a33.h11->logits,m33->logits,a32.h2->logits
a32.h2->logits,a32.h2->logits,m12->m13,a34.h2->logits,a34.h2->logits,a34.h2->logits,a34.h2->logits,a34.h2->logits
m33->logits,m33->logits,m34->m35,m33->m35,a32.h2->logits,m34->m35,a32.h2->logits,m34->m35
m34->logits,a34.h2->logits,m7->m10,a34.h2->m35,a33.h11->m35,a32.h2->m35,a33.h11->m35,a33.h11->m35
a34.h2->logits,a34.h2->m35,m12->a14.h1<v>,a33.h11->logits,m34->m35,a33.h11->m35,m34->m35,a32.h2->m35
m34->m35,m31->m35,m11->m12,a32.h2->logits,a34.h2->m35,a34.h2->m35,a34.h2->m35,m33->logits
a34.h2->m35,a33.h11->m35,m0->m12,m28->logits,a32.h2->m35,m33->logits,a32.h2->m35,a34.h2->m35
m31->m35,a33.h11->logits,m12->a15.h19<v>,m32->logits,m33->m35,m32->logits,m33->m35,m32->logits
a33.h11->m35,a32.h2->m35,m0->m18,a35.h17->logits,m32->logits,m34->logits,m32->logits,m34->logits
a32.h2->m35,m34->logits,m12->a13.h3<v>,a33.h11->m35,m22->logits,m22->logits,m22->logits,m22->logits
a33.h11->logits,m34->m35,m0->m9,a32.h2->m35,m34->logits,m27->logits,m34->logits,m27->logits
m0->m1,m31->logits,m4->m8,m20->m35,a35.h17->logits,m24->logits,a35.h17->logits,m24->logits
m31->logits,m32->m33,m2->m6,m25->m35,m23->logits,m8->logits,m23->logits,m8->logits
m32->m33,m8->m35,m32->logits,m15->logits,m24->logits,a35.h17->logits,m24->logits,a35.h17->logits
m4->m7,m25->m35,m33->m35,m30->logits,m8->logits,m23->logits,m8->logits,m33->m35
m8->m35,m0->m1,m32->m33,m8->m35,m20->m35,m13->logits,m27->logits,m23->logits
m0->m18,m0->m18,m0->m7,m33->logits,m27->logits,m33->m35,m20->m35,m13->logits
m10->m12,m9->m10,m7->m9,m21->logits,m13->logits,m8->m35,m8->m35,m31->logits
m1->m6,m0->m4,m1->m6,m13->logits,m8->m35,m31->logits,m13->logits,m8->m35
m25->m35,m4->m8,m6->m9,m22->logits,a26.h2->logits,m25->logits,a26.h2->logits,m25->logits
m32->m35,m32->m35,a34.h2->m35,a26.h2->logits,a22.h7->logits,m28->logits,a22.h7->logits,m28->logits
m0->m4,m10->m12,m11->m14,a35.h17->m35,m15->logits,m20->m35,m2->logits,m20->m35
m29->m35,m25->logits,m12->m15,m2->logits,a33.h11->m34,a26.h2->logits,a33.h11->m34,m2->logits
m4->m8,m20->m21,m10->m15,m13->m35,m2->logits,m2->logits,m15->logits,a26.h2->logits
m20->m21,a11.h0->m11,m7->m8,m16->m35,m20->logits,m20->logits,m20->logits,m20->logits
m1->m2,m29->m35,m11->m13,m25->logits,a35.h17->m35,m25->m35,m25->m35,m25->m35
a11.h0->m11,m4->m7,m17->logits,m8->logits,m25->m35,m15->logits,m25->logits,m15->logits
m9->m10,m0->m7,m12->a13.h10<v>,m30->m35,a34.h2->m34,m13->m35,a35.h17->m35,a22.h7->logits
m27->m35,m24->logits,m31->logits,m29->logits,m17->logits,a22.h7->logits,m17->logits,m13->m35
m0->m7,m27->m35,m9->m10,m17->logits,m25->logits,a35.h17->m35,a34.h2->m34,m29->logits
m25->logits,m9->m11,m15->m18,m0->logits,m13->m35,m21->logits,m31->logits,a33.h11->m34
m23->m35,a35.h17->logits,m6->m10,m23->m35,m31->logits,a33.h11->m34,m13->m35,a35.h17->m35
m13->m16,a32.h7->logits,a34.h2->logits,a26.h2->m35,m16->logits,m22->m35,m29->logits,m22->m35
m6->m8,m11->m14,m0->logits,m9->logits,m29->logits,m29->logits,m16->logits,m21->logits
m0->m9,m13->m17,m2->m4,m23->logits,a26.h2->m35,a34.h2->m34,m28->logits,a34.h2->m34
m8->logits,m23->m35,m1->m14,m31->logits,m23->m35,a32.h2->m34,a26.h2->m35,a32.h2->m34
m17->m21,m28->logits,m11->m18,m1->logits,m17->m35,m16->m35,m30->logits,m16->m35
a35.h17->logits,m8->m14,m3->m9,m6->logits,m16->m35,a32.h4->logits,m17->m35,a26.h2->m35
m7->m13,a35.h17->m35,a32.h2->m35,m10->logits,a32.h2->m34,a26.h2->m35,a32.h2->m34,m7->logits
