llama_dss1_pos,llama_dss1_neg,llama_dss2_pos,llama_dss2_neg
m31->logits,m31->logits,m31->logits,m31->logits
m30->logits,m1->m2,m30->logits,m30->logits
m30->m31,m0->m1,m30->m31,m30->m31
a31.h10->m31,m30->logits,a31.h10->m31,a31.h10->m31
a31.h10->logits,m2->m3,a31.h10->logits,a31.h10->logits
m18->m31,m30->m31,a31.h12->m31,a31.h12->m31
a31.h12->m31,a29.h2->logits,m18->m31,m18->m31
a30.h11->m31,m29->logits,a30.h11->m31,a30.h11->m31
a17.h16->logits,input->m0,a31.h12->logits,a31.h12->logits
m18->logits,a29.h2->m31,a30.h11->logits,m18->logits
m0->m1,input->a0.h3<k>,m18->logits,a31.h15->logits
m29->m30,a24.h7->logits,m28->logits,a30.h11->logits
m7->m9,a25.h4->logits,m28->m31,m28->logits
a23.h9->logits,a0.h25->m0,a17.h29->m31,a17.h29->m31
m26->logits,m0->m2,a31.h15->logits,m18->a21.h2<q>
m29->m31,m1->a3.h0<q>,m18->a21.h2<q>,m28->m31
a31.h8->m31,input->a0.h12<k>,m29->m30,m29->m30
a17.h29->m31,a7.h16->m7,m0->m1,m18->a24.h18<q>
a26.h30->logits,m4->m9,m30->a31.h11<q>,a31.h15->m31
m28->m31,input->a0.h3<v>,m26->logits,m20->m31
m18->a21.h2<q>,m1->a3.h3<q>,m18->a24.h18<q>,m0->m1
a30.h11->logits,m3->m7,m26->m31,m30->a31.h11<q>
m5->m7,m26->m31,a31.h15->m31,m4->m6
m26->m31,m4->m5,a31.h4->m31,a24.h18->logits
m6->m7,m8->m9,m18->a21.h8<q>,m26->m31
m4->m6,a25.h4->m31,m4->m5,a31.h4->m31
a22.h6->logits,a0.h13->m0,m12->m31,m12->m31
m18->a24.h18<q>,m4->a5.h4<q>,m29->m31,m26->logits
m24->logits,m2->m5,m4->m6,m18->a21.h8<q>
a24.h18->logits,m6->m7,m20->m31,m4->m5
m28->logits,m18->logits,a24.h18->logits,a24.h13->m31
a29.h2->logits,a19.h20->logits,a26.h19->m31,m18->a19.h20<q>
m20->m31,input->a0.h22<k>,a24.h13->m31,a31.h24->m31
a31.h8->logits,a5.h4->m5,m29->logits,m23->logits
a26.h30->m31,a0.h15->m0,m6->m8,a26.h30->logits
a26.h19->m31,a2.h23->m3,m5->m6,a17.h29->logits
input->a0.h15<v>,a3.h0->m3,m23->logits,m18->a24.h18<k>
a24.h7->logits,input->a0.h15<v>,a17.h29->logits,m5->m6
m29->logits,m4->m10,m30->a31.h24<v>,a19.h20->logits
m5->m6,m0->m3,a20.h9->m31,m18->a23.h5<q>
m23->logits,a15.h11->m15,a21.h2->logits,a26.h30->m31
a7.h1->m7,m6->m8,m18->a19.h20<q>,a20.h9->m31
m6->a7.h25<q>,a1.h22->m1,m18->a24.h18<k>,m24->logits
